backspaces,holds,rollover,roll_rate,speed
1.0,1387671.0,250658314.0,0.0,1174910000.0
16.0,171956165.0,403903819.0,44.166666666666664,84751682600.0
9.0,189768060.0,633244550.0,87.0,135589624000.0
22.0,123450363.0,186836823.0,10.25,99811638200.0
10.0,131268167.0,245280605.0,8.571428571428571,104996801800.0
16.0,168699210.0,528619298.0,19.615384615384617,179076603100.0
63.0,154932712.0,529409939.0,12.0,191403341900.0
49.0,137145973.0,235673204.0,10.44,115427723000.0
4.0,85918771.0,179358723.0,15.4,78900530800.0
18.0,82576209.0,299049265.0,26.4,88634522600.0
14.0,151715010.0,429800383.0,23.636363636363637,116349905800.0
12.0,142293299.0,162951217.0,6.857142857142857,123572153300.0
13.0,134293743.0,366484160.0,33.875,98561393600.0
15.0,167438041.0,556608494.0,44.666666666666664,117844638800.0
30.0,122092485.0,268785952.0,17.4375,97272003900.0
0.0,153528944.0,121191508.0,3.517857142857143,103961090000.0
12.0,175330228.0,81025526.0,3.0,111267153200.0
17.0,113555650.0,365471670.0,133.5,79269342800.0
10.0,109555644.0,255980987.0,64.75,78990887100.0
21.0,118662955.0,367859132.0,13.421052631578947,117995828800.0
41.0,115260131.0,355071515.0,22.583333333333332,107540518800.0
58.0,153122414.0,407901237.0,9.32258064516129,141297479100.0
3.0,9921708.0,440605019.0,0.0,10498318000.0
4.0,126722248.0,264041815.0,24.7,96965516400.0
30.0,68021813.0,322448972.0,53.0,75260985400.0
21.0,143092401.0,191173764.0,5.804878048780488,124297116400.0
5.0,124293884.0,468862709.0,42.0,96876339800.0
0.0,130226865.0,169476418.0,4.63265306122449,147106476206.0
37.0,129633815.0,277843673.0,15.705882352941176,100460128800.0
16.0,155666373.0,499319639.0,0.0,101484758200.0
1.0,9910288.0,749986331.0,0.0,6074271000.0
31.0,91423637.0,236662270.0,143.5,68218117900.0
22.0,111383852.0,365721080.0,0.0,81602999000.0
