 _count, _0_u_d, _0_d_d, _0_u_u, _0_d_u,t_count,t_0_u_d,t_0_d_d,t_0_u_u,t_0_d_u,a_count,a_0_u_d,a_0_d_d,a_0_u_u,a_0_d_u,c_count,c_0_u_d,c_0_d_d,c_0_u_u,c_0_d_u,h_count,h_0_u_d,h_0_d_d,h_0_u_u,h_0_d_u,e_count,e_0_u_d,e_0_d_d,e_0_u_u,e_0_d_u,r_count,r_0_u_d,r_0_d_d,r_0_u_u,r_0_d_u,s_count,s_0_u_d,s_0_d_d,s_0_u_u,s_0_d_u,p_count,p_0_u_d,p_0_d_d,p_0_u_u,p_0_d_u,o_count,o_0_u_d,o_0_d_d,o_0_u_u,o_0_d_u,f_count,f_0_u_d,f_0_d_d,f_0_u_u,f_0_d_u,i_count,i_0_u_d,i_0_d_d,i_0_u_u,i_0_d_u,n_count,n_0_u_d,n_0_d_d,n_0_u_u,n_0_d_u,l_count,l_0_u_d,l_0_d_d,l_0_u_u,l_0_d_u,d_count,d_0_u_d,d_0_d_d,d_0_u_u,d_0_d_u,m_count,m_0_u_d,m_0_d_d,m_0_u_u,m_0_d_u,y_count,y_0_u_d,y_0_d_d,y_0_u_u,y_0_d_u,b_count,b_0_u_d,b_0_d_d,b_0_u_u,b_0_d_u,u_count,u_0_u_d,u_0_d_d,u_0_u_u,u_0_d_u,g_count,g_0_u_d,g_0_d_d,g_0_u_u,g_0_d_u,._count,._0_u_d,._0_d_d,._0_u_u,._0_d_u,v_count,v_0_u_d,v_0_d_d,v_0_u_u,v_0_d_u,w_count,w_0_u_d,w_0_d_d,w_0_u_u,w_0_d_u
1,859104000,861274000,862381000,2170000,1,181841000,183057000,183986000,1216000,1,274173000,277930000,276411000,3757000,1,108248000,111881000,110248000,3633000,1,103614000,106891000,107371000,3277000,1,161841000,166220000,164135000,4379000,1,252403000,254697000,255807000,2294000,1,122832000,126236000,124418000,3404000,1,172452000,173792000,173583000,1340000,1,180591000,184932000,183615000,4341000,1,161216000,162198000,162988000,982000,1,160163000,162179000,164504000,2016000,1,634743000,637767000,635879000,3024000,1,280862000,284783000,282202000,3921000,1,98101000,99673000,99104000,1572000,1,594710000,596189000,598063000,1479000,1,170740000,174638000,172910000,3898000,1,238880000,239268000,239374000,388000,1,173987000,175745000,175812000,1758000,1,149445000,150176000,149890000,731000,1,155075000,156871000,156153000,1796000,1,137759000,140828000,140140000,3069000,1,135847000,137276000,137193000,1429000
1,214097200,266043300,265102300,51946100,1,191994900,243000000,215995100,51005100,1,271034400,360982400,328032300,89948000,1,642238500,698239100,697232000,56000600,1,66004300,187004500,128053600,121000200,1,858269200,909313800,881268600,51044600,1,198037100,258037500,256999300,60000400,1,213095700,266088400,236102100,52992700,1,260028400,306046100,311034700,46017700,1,220994200,244000600,272994100,23006400,1,130999400,186946600,207999700,55947200,1,77999900,160998200,140000800,82998300,1,516639500,579622500,605644700,62983000,1,259114900,315061300,308115000,55946400,1,172964600,194017300,235947600,21052700,1,472526600,564543100,495474500,92016500,1,928180700,947228700,986128200,19048000,1,192992200,241992300,278989700,49000100,1,627462700,689010000,691473400,61547300,1,540640500,602641400,684642400,62000900,1,1566819500,1589767400,1687819700,22947900,1,237946600,258976500,309946300,21029900,1,292004400,345004300,344052500,52999900
1,859250000,991364000,990598000,132114000,1,576834000,708182000,707894000,131348000,1,1050580000,1193493000,1194512000,142913000,1,789275000,922736000,924490000,133461000,1,582025000,711354000,603719000,129329000,1,1995878000,2126189000,2127651000,130311000,1,571931000,702991000,703487000,131060000,1,622126000,767826000,753732000,145700000,1,1228771000,1488849000,1424101000,260078000,1,574709000,706315000,707262000,131606000,1,367904000,491782000,559587000,123878000,1,1192269000,1320808000,1322229000,128539000,1,1061131000,1191042000,1189820000,129911000,1,1312605000,1442565000,1442735000,129960000,1,562107000,691020000,692018000,128913000,1,1468408000,1596914000,1595488000,128506000,1,1434843000,1559890000,1561118000,125047000,1,622619000,752749000,753315000,130130000,1,867782000,995845000,999408000,128063000,1,1926974000,2210235000,2055669000,283261000,1,2134291000,2261371000,2263620000,127080000,1,408047000,543525000,543148000,135478000,1,997990000,1126685000,1127994000,128695000
1,487763800,633733800,512765900,145970000,1,124310800,189942800,192651300,65632000,1,99314400,193301700,182053600,93987300,1,50378300,159686100,237484000,109307800,1,141259200,191465300,208755500,50206100,1,364647400,431998800,431801500,67351400,1,83162100,151502600,143163000,68340500,1,156222000,239289700,198247400,83067700,1,137623500,191679600,288400400,54056100,1,117502300,159527700,202477700,42025400,1,120433800,157600800,208142400,37167000,1,204858900,287735800,297310800,82876900,1,121580400,189802600,206580700,68222200,1,83627700,176079600,150545200,92451900,1,133222200,223987100,185103400,90764900,1,436046900,550666600,480015700,114619700,1,649007600,718329500,751282200,69321900,1,110283600,177201100,256253600,66917500,1,141566500,206874800,224546000,65308300,1,151169700,192166200,234452300,40996500,1,476877600,544445800,527083700,67568200,1,129189500,178154400,192569300,48964900,1,173084000,254957700,201054200,81873700
1,84646200,216542200,153979600,131896000,1,131099800,200433200,231366000,69333400,1,238664900,354807700,287174500,116142800,1,270435500,355096400,339825100,84660900,1,169039200,206786800,263174000,37747600,1,1058485600,1127476300,1158864100,68990700,1,70379800,170646000,154128600,100266200,1,84605800,200465500,137974300,115859700,1,100360500,169644700,178730200,69284200,1,169604700,238967700,247746200,69363000,1,93771300,194070400,216230100,100299100,1,263667100,317135000,348313700,53467900,1,332148500,417411400,401558400,85262900,1,122633400,207280000,185212300,84646600,1,37750800,115860200,184899800,78109400,1,222812400,300953900,269716900,78141500,1,400556100,449065700,469987000,48509600,1,216185200,278764100,317053200,62578900,1,386257100,502133000,487541900,115875900,1,100250200,169313200,178381200,69063000,1,332751000,379655500,370498600,46904500,1,31217100,147386000,100586700,116168900,1,154051300,232182300,207757500,78131000
1,395692400,537478600,580452800,141786200,1,548722200,715148600,722559900,166426400,1,456870300,687690300,621618900,230820000,1,850097600,953642700,1000020000,103545100,1,97219000,223707700,241221800,126488700,1,685786200,870546600,808690500,184760400,1,343536700,517374400,472418000,173837700,1,487314600,612374900,652435100,125060300,1,316406800,438041700,442889900,121634900,1,529337300,694457800,692438100,165120500,1,536280900,768361000,678890400,232080100,1,840981000,978129200,1050738500,137148200,1,479633900,669843800,638034400,190209900,1,508363500,592657400,640878800,84293900,1,170168500,379926000,360378400,209757500,1,208717100,366550700,360972600,157833600,1,1156242700,1310154500,1240739800,153911800,1,131910700,264426000,284492600,132515300,1,712964500,855625600,849383700,142661100,1,673714000,828347700,903403900,154633700,1,911672000,1172944300,1038160700,261272300,1,323126200,469565900,463525400,146439700,1,178838200,408528100,249783600,229689900
1,486852000,578620900,639529000,91768900,1,1010279400,1160118000,1131964000,149838600,1,487937500,645632700,637776100,157695200,1,132120600,315115600,349277200,182995000,1,573174100,758986800,697431800,185812700,1,807453100,962845400,929271900,155392300,1,862024100,989164900,928322600,127140800,1,719441700,904305300,813498400,184863600,1,168021700,343177300,216957700,175155600,1,599589100,718637900,754981400,119048800,1,95395300,258370900,166770800,162975600,1,221133900,289766400,319471400,68632500,1,982646300,1134022100,1102496100,151375800,1,309652300,407989800,389725000,98337500,1,487605100,644422100,638980900,156817000,1,1209516800,1336494700,1304636200,126977900,1,2572315800,2696408200,2737135700,124092400,1,124714100,204786800,248844300,80072700,1,262545200,326602500,406914900,64057300,1,1761022600,1912969400,1887231800,151946800,1,1236394900,1331514300,1422207600,95119400,1,224039300,291994100,377115600,67954800,1,196012600,322221800,261096600,126209200
1,184037300,265044000,249131400,81006700,1,151711000,211710600,211711100,59999600,1,123776400,304590300,184769400,180813900,1,98071800,192071900,155559900,94000100,1,165008600,235004800,241960700,69996200,1,475806600,579803800,565169800,103997200,1,172000100,232000200,298000200,60000100,1,87642000,195358700,179528200,107716700,1,101005900,172753400,218006100,71747500,1,172227800,214653100,232228000,42425300,1,74060200,141484500,144000800,67424300,1,24998600,134000200,72999500,109001600,1,78999400,163000500,139004300,84001100,1,585439500,661185700,657324000,75746200,1,173126900,241858200,234083800,68731300,1,410271600,479295100,452274000,69023500,1,609174900,697985300,759143900,88810400,1,86999800,158884300,160033200,71884500,1,431493100,525498200,497493800,94005100,1,239213000,297270500,420026900,58057500,1,512987100,600988100,616984300,88001000,1,105025700,198101800,183899700,93076100,1,529085300,622089700,624627300,93004400
1,169266600,231766400,238276700,62499800,1,147004900,202999800,210999900,55994900,1,329627500,393999900,385622400,64372400,1,138061100,200567400,186001700,62506300,1,78124800,162760900,147136300,84636100,1,230001400,281000500,318996000,50999100,1,147135700,231772300,216146700,84636600,1,632801300,701812300,701810800,69011000,1,69008400,167769600,169266600,98761200,1,184894800,253905800,253905800,69011000,1,169276000,238287200,231775200,69011200,1,200192900,269203000,262693000,69010100,1,84637100,153646900,147136900,69009800,1,138022100,200522200,200521900,62500100,1,162323800,231327900,231333600,69004100,1,247393300,332029400,300779500,84636100,1,253900100,316405800,332024600,62505700,1,162762400,247399500,231773300,84637100,1,231770300,285157200,332033000,53386900,1,169270300,231770700,238278500,62500400,1,-170778287900,-170724901500,532545000,53386400,1,400452100,438214400,462952200,37762300,1,201689800,270698000,248566600,69008200
1,313407200,383283600,371631500,69876400,1,519558600,570423000,601185500,50864400,1,166298200,319305300,217162600,153007100,1,370993400,464340500,444600900,93347100,1,508587700,569825700,578186800,61238000,1,645547800,720346800,718517900,74799000,1,413785600,494700700,465611000,80915100,1,157352200,238649000,211668700,81296800,1,360462700,422494600,440137600,62031900,1,535388900,589705400,593278500,54316500,1,143424300,185219500,220542200,41795200,1,248445100,304668700,313333200,56223600,1,258345000,344779600,334829900,86434600,1,284806000,349694100,335670900,64888100,1,159768900,256084200,246203500,96315300,1,708454300,791063000,743358200,82608700,1,445203900,511158800,598096300,65954900,1,143891200,194756100,200796500,50864900,1,253729400,310632800,340292500,56903400,1,278040400,352567600,385072500,74527200,1,838664200,873568100,899902200,34903900,1,110718700,175766700,191976400,65048000,1,173494100,280526200,223323800,107032100
