backspaces, _u_d_avg, _d_d_avg, _d_u_avg, _u_u_avg, _count,t_u_d_avg,t_d_d_avg,t_d_u_avg,t_u_u_avg,t_count,e_u_d_avg,e_d_d_avg,e_d_u_avg,e_u_u_avg,e_count,a_u_d_avg,a_d_d_avg,a_d_u_avg,a_u_u_avg,a_count,s_u_d_avg,s_d_d_avg,s_d_u_avg,s_u_u_avg,s_count,p_u_d_avg,p_d_d_avg,p_d_u_avg,p_u_u_avg,p_count,r_u_d_avg,r_d_d_avg,r_d_u_avg,r_u_u_avg,r_count,f_u_d_avg,f_d_d_avg,f_d_u_avg,f_u_u_avg,f_count,i_u_d_avg,i_d_d_avg,i_d_u_avg,i_u_u_avg,i_count,o_u_d_avg,o_d_d_avg,o_d_u_avg,o_u_u_avg,o_count,l_u_d_avg,l_d_d_avg,l_d_u_avg,l_u_u_avg,l_count,d_u_d_avg,d_d_d_avg,d_d_u_avg,d_u_u_avg,d_count,u_u_d_avg,u_d_d_avg,u_d_u_avg,u_u_u_avg,u_count,m_u_d_avg,m_d_d_avg,m_d_u_avg,m_u_u_avg,m_count,x_u_d_avg,x_d_d_avg,x_d_u_avg,x_u_u_avg,x_count,n_u_d_avg,n_d_d_avg,n_d_u_avg,n_u_u_avg,n_count,b_u_d_avg,b_d_d_avg,b_d_u_avg,b_u_u_avg,b_count,y_u_d_avg,y_d_d_avg,y_d_u_avg,y_u_u_avg,y_count,c_u_d_avg,c_d_d_avg,c_d_u_avg,c_u_u_avg,c_count,g_u_d_avg,g_d_d_avg,g_d_u_avg,g_u_u_avg,g_count,h_u_d_avg,h_d_d_avg,h_d_u_avg,h_u_u_avg,h_count,v_u_d_avg,v_d_d_avg,v_d_u_avg,v_u_u_avg,v_count,w_u_d_avg,w_d_d_avg,w_d_u_avg,w_u_u_avg,w_count,z_u_d_avg,z_d_d_avg,z_d_u_avg,z_u_u_avg,z_count,._u_d_avg,._d_d_avg,._d_u_avg,._u_u_avg,._count,'_u_d_avg,'_d_d_avg,'_d_u_avg,'_u_u_avg,'_count,",_u_d_avg",",_d_d_avg",",_d_u_avg",",_u_u_avg",",_count"
17.0,373261717.0,374228695.0,966978.0,376840826.0,92.0,169237380.0,170668952.0,1431571.0,170672761.0,40.0,218916114.0,220309163.0,1393049.0,221765639.0,61.0,256553304.0,258103695.0,1550391.0,258254304.0,46.0,208067517.0,209485689.0,1418172.0,209539896.0,58.0,181366833.0,182779000.0,1412166.0,182760833.0,12.0,358104578.0,359771000.0,1666421.0,363649526.0,38.0,152474833.0,153488333.0,1013500.0,153660166.0,12.0,302061705.0,303474529.0,1412823.0,304117470.0,34.0,234008947.0,235459368.0,1450421.0,235628368.0,38.0,228445666.0,230333000.0,1887333.0,229652111.0,18.0,157209400.0,158337600.0,1128200.0,158178300.0,20.0,204029636.0,205402909.0,1373272.0,205561727.0,22.0,242699666.0,243787222.0,1087555.0,253126777.0,16.0,341279000.0,342442500.0,1163500.0,342473500.0,4.0,231990714.0,233464357.0,1473642.0,233067428.0,27.0,238880000.0,239268000.0,388000.0,239374000.0,2.0,411285285.0,413136428.0,1851142.0,412512142.0,14.0,209131307.0,210710153.0,1578846.0,210531307.0,25.0,163550500.0,165084000.0,1533500.0,164978000.0,4.0,135312727.0,136777818.0,1465090.0,136991090.0,22.0,204605000.0,207475800.0,2870800.0,206605000.0,9.0,135847000.0,137276000.0,1429000.0,137193000.0,1.0,221155000.0,223040000.0,1885000.0,222707000.0,1.0,141282000.0,142402500.0,1120500.0,142173000.0,4.0,193962000.0,194360000.0,398000.0,194300000.0,2.0,227489147.26923078,227489147.26923078,227489147.26923078,227489147.26923078,227489147.26923078
60.0,556774327.0,642993385.0,86219058.0,629976599.0,258.0,369881329.0,444312249.0,74430919.0,453087109.0,91.0,737277660.0,811670259.0,74392598.0,813750088.0,143.0,287232024.0,382016085.0,94784061.0,367219424.0,77.0,439489713.0,529370930.0,89881217.0,519679135.0,81.0,233612535.0,298266071.0,64653535.0,310352157.0,28.0,358933925.0,436881067.0,77947142.0,435246384.0,78.0,192464379.0,274885686.0,82421306.0,268146003.0,29.0,204106174.0,276259537.0,72153363.0,278820071.0,74.0,273905302.0,343109241.0,69203939.0,350553706.0,91.0,233483410.0,306589597.0,73106187.0,319076838.0,39.0,413678002.0,494011938.0,80333935.0,487342991.0,34.0,218635516.0,284867730.0,66232213.0,297665506.0,29.0,387096212.0,465618239.0,78522027.0,465747012.0,33.0,214874033.0,317118500.0,102244466.0,296213033.0,3.0,419287232.0,494836414.0,75549182.0,496251827.0,62.0,232162831.0,296031620.0,63868789.0,303924441.0,29.0,401361947.0,467055947.0,65694000.0,489726004.0,21.0,269672152.0,356555818.0,86883665.0,341975520.0,44.0,585888600.0,654940783.0,69052183.0,678584141.0,12.0,241264694.0,309957849.0,68693154.0,320742296.0,55.0,198086740.0,275094650.0,77007910.0,279647010.0,10.0,201066283.0,292648391.0,91582108.0,272687558.0,12.0,42753900.0,153914100.0,111160200.0,161779000.0,1.0,1172187575.0,7603224875.0,6431037300.0,1255772862.0,16.0,-14924200.0,63857800.0,78782000.0,79990600.0,1.0,1000018583.0,1066519950.0,66501366.0,1084761275.0,11.0
26.0,737500738.0,853579867.0,116079128.0,863188931.0,249.0,564075678.0,701796287.0,137720609.0,695369965.0,87.0,683789908.0,819042267.0,135252359.0,818863507.0,142.0,522916671.0,643742214.0,120825542.0,658409057.0,70.0,670689975.0,812388750.0,141698775.0,800053475.0,79.0,469277192.0,595894576.0,126617384.0,584271307.0,26.0,539774513.0,676867223.0,137092710.0,666794618.0,76.0,514579964.0,652431571.0,137851607.0,642553107.0,28.0,483516371.0,603820300.0,120303928.0,615222900.0,70.0,515400235.0,624529647.0,109129411.0,647775352.0,85.0,856962564.0,972729025.0,115766461.0,981773717.0,39.0,598695970.0,739940823.0,141244852.0,727952294.0,34.0,543003896.0,666045344.0,123041448.0,663986275.0,29.0,734005225.0,861887064.0,127881838.0,871381032.0,31.0,319252000.0,474839000.0,155587000.0,423886000.0,2.0,667021721.0,793398327.0,126376606.0,797164327.0,61.0,562510413.0,677884793.0,115374379.0,690476103.0,29.0,722196863.0,857938363.0,135741500.0,838678772.0,22.0,476211744.0,630091790.0,153880046.0,597789488.0,43.0,958771750.0,1099380333.0,140608583.0,1079014500.0,11.0,438981392.0,569684039.0,130702647.0,559534156.0,51.0,306618111.0,431208111.0,124590000.0,435466222.0,9.0,775200833.0,915251916.0,140051083.0,905148000.0,12.0,152744000.0,274039000.0,121295000.0,234021000.0,1.0,1455390526.0,4967898684.0,3512508157.0,1581858473.0,19.0,102694000.0,204854000.0,102160000.0,221016000.0,1.0,1052740100.0,1192802900.0,140062800.0,1181220200.0,10.0
82.0,254881129.0,376508183.0,121627054.0,335632249.0,262.0,166191437.0,243382196.0,77190759.0,258889139.0,93.0,234204471.0,316724170.0,82519698.0,327774486.0,145.0,125687602.0,231504694.0,105817092.0,213240148.0,75.0,108520443.0,202010377.0,93489934.0,206411149.0,81.0,157165437.0,240729951.0,83564514.0,258906351.0,27.0,152622781.0,238524282.0,85901501.0,244325200.0,79.0,122507160.0,189189385.0,66682225.0,211338157.0,27.0,113156960.0,208391522.0,95234562.0,207381947.0,73.0,109624638.0,196965074.0,87340435.0,203651447.0,90.0,129982951.0,218003615.0,88020664.0,236299956.0,39.0,144696211.0,224760811.0,80064600.0,229721144.0,30.0,114296360.0,210627657.0,96331296.0,200972289.0,28.0,255493596.0,343705178.0,88211581.0,354694221.0,33.0,88445650.0,185014000.0,96568350.0,160105450.0,2.0,180523739.0,268993876.0,88470136.0,270773900.0,63.0,132122450.0,218109664.0,85987214.0,227895989.0,27.0,214353100.0,278911300.0,64558200.0,321359852.0,23.0,133434177.0,222507804.0,89073627.0,231203386.0,44.0,175654169.0,239899500.0,64245330.0,285277246.0,13.0,125227215.0,203854896.0,78627680.0,222157626.0,51.0,112006240.0,176065960.0,64059720.0,203391360.0,10.0,138390733.0,221434253.0,83043520.0,227592400.0,15.0,113152200.0,192826300.0,79674100.0,224041800.0,1.0,565690566.0,2238489080.0,1672798514.0,648254700.0,21.0,0.0,112356100.0,112356100.0,78568500.0,1.0,347545150.0,451097290.0,103552140.0,447670400.0,9.0
42.0,359150194.0,473045757.0,113895563.0,450242739.0,256.0,165829888.0,260461791.0,94631902.0,265474047.0,90.0,302678408.0,390472072.0,87793663.0,403993295.0,144.0,111880890.0,247358138.0,135477247.0,209744734.0,76.0,220590230.0,330942738.0,110352507.0,320760515.0,78.0,234982811.0,311247026.0,76264215.0,331376553.0,26.0,190288154.0,289131290.0,98843136.0,294801684.0,75.0,113435972.0,203492158.0,90056186.0,206592506.0,29.0,132483444.0,237121917.0,104638472.0,232125866.0,69.0,170299086.0,262307012.0,92007925.0,264011937.0,90.0,156541015.0,247440777.0,90899762.0,266913757.0,40.0,173812233.0,265406842.0,91594609.0,266093893.0,33.0,245603512.0,321418600.0,75815087.0,344860912.0,31.0,333515750.0,421568767.0,88053017.0,431901132.0,33.0,127510550.0,212219750.0,84709200.0,217433250.0,2.0,278776038.0,374630410.0,95854371.0,379407628.0,59.0,192507575.0,278270410.0,85762835.0,284137646.0,28.0,315683752.0,396472639.0,80788886.0,428408604.0,23.0,176517628.0,284067583.0,107549954.0,271424854.0,41.0,416793169.0,515218238.0,98425069.0,533226838.0,13.0,193580394.0,268066513.0,74486118.0,290356288.0,53.0,166614044.0,292115444.0,125501400.0,276000922.0,9.0,124869708.0,227805300.0,102935591.0,216329141.0,12.0,185738100.0,301366700.0,115628600.0,302337900.0,1.0,492688257.0,2356918321.0,1864230063.0,574929878.0,19.0,302391400.0,456778300.0,154386900.0,419130300.0,1.0,374966166.0,483412166.0,108446000.0,476561722.0,9.0
62.0,839059659.0,997594631.0,158534972.0,1000490240.0,262.0,294469766.0,463335609.0,168865842.0,464745813.0,87.0,561846147.0,740284062.0,178437914.0,726829990.0,142.0,327302808.0,537521710.0,210218902.0,488578533.0,74.0,475573533.0,647952843.0,172379310.0,643973412.0,90.0,600230346.0,749085967.0,148855621.0,768013257.0,28.0,395472452.0,560865730.0,165393278.0,558793784.0,77.0,279389917.0,464794789.0,185404871.0,445392657.0,28.0,413889034.0,581252783.0,167363748.0,572228120.0,71.0,378640842.0,566179557.0,187538714.0,545315126.0,87.0,428588800.0,568519763.0,139930963.0,592921004.0,41.0,402288081.0,583629931.0,181341850.0,575351215.0,38.0,397261406.0,564377962.0,167116555.0,555996555.0,29.0,509139734.0,675332403.0,166192668.0,682526296.0,32.0,710590200.0,841526100.0,130935900.0,869655000.0,2.0,523879028.0,688680368.0,164801340.0,687044041.0,60.0,307078214.0,452638085.0,145559871.0,481634225.0,27.0,610224045.0,774283000.0,164058954.0,793752409.0,20.0,266908114.0,419551273.0,152643158.0,427753231.0,40.0,665069346.0,830577853.0,165508507.0,857194492.0,13.0,225890568.0,373871319.0,147980750.0,396834931.0,49.0,190705766.0,362882622.0,172176855.0,370273000.0,9.0,291660933.0,531906341.0,240245408.0,417219758.0,12.0,472817600.0,585989000.0,113171400.0,689364200.0,1.0,1413563163.0,5407640684.0,3994077521.0,1572194063.0,19.0,130390500.0,303915400.0,173524900.0,295052600.0,1.0,1357699100.0,1505503690.0,147804590.0,1513984370.0,10.0
243.0,695161765.0,833315894.0,138154128.0,841089525.0,289.0,475508800.0,624921267.0,149412466.0,625065122.0,109.0,573115824.0,759824426.0,186708601.0,713368111.0,173.0,371363419.0,543054513.0,171691093.0,519449198.0,82.0,612024422.0,788881654.0,176857231.0,753878753.0,94.0,382918220.0,554036270.0,171118050.0,544811533.0,29.0,506303965.0,689660820.0,183356854.0,651959847.0,91.0,255673140.0,408829511.0,153156371.0,415890977.0,35.0,312695844.0,872897370.0,560201526.0,461282238.0,99.0,310674941.0,461927976.0,151253034.0,461966862.0,103.0,489938778.0,634989900.0,145051121.0,651446415.0,46.0,546732169.0,745851095.0,199118926.0,682587495.0,49.0,420039215.0,569370753.0,149331537.0,562234853.0,32.0,832249246.0,977648417.0,145399171.0,972594212.0,39.0,203846950.0,405663600.0,201816650.0,347752900.0,2.0,516342702.0,655410297.0,139067594.0,663288140.0,72.0,362239857.0,484946076.0,122706218.0,525980234.0,38.0,805139634.0,929470250.0,124330615.0,954105553.0,26.0,344793383.0,518606230.0,173812846.0,495334185.0,49.0,878858978.0,997822160.0,118963182.0,997216686.0,23.0,372809928.0,494995595.0,122185667.0,519007119.0,67.0,734479130.0,873028561.0,138549430.0,888476800.0,13.0,270904678.0,447182300.0,176277621.0,411682535.0,14.0,89368100.0,260361800.0,170993700.0,232673500.0,1.0,1331785738.0,1419124871.0,87339133.0,1476669195.0,21.0,144909900.0,260743100.0,115833200.0,318871200.0,1.0,724902914.0,810219257.0,85316342.0,858024707.0,14.0
197.0,352374720.0,447579257.0,95204536.0,446306484.0,276.0,163313804.0,250442036.0,87128232.0,258830179.0,98.0,264321847.0,369318659.0,104996811.0,357614277.0,159.0,140612005.0,279066302.0,138454296.0,234762796.0,83.0,176616728.0,287320701.0,110703972.0,277626553.0,88.0,188963441.0,297138020.0,108174579.0,287413055.0,29.0,190667708.0,292762879.0,102095170.0,292159561.0,78.0,138032546.0,228226834.0,90194287.0,234006228.0,32.0,158178635.0,257347097.0,99168461.0,257855350.0,80.0,161918626.0,268613673.0,106695047.0,253449217.0,103.0,212559554.0,294786483.0,82226928.0,311783792.0,42.0,169976500.0,256137105.0,86160605.0,261827551.0,35.0,231148343.0,322093184.0,90944841.0,317939102.0,39.0,269978243.0,360097718.0,90119475.0,362227337.0,36.0,140190233.0,239390800.0,99200566.0,235475866.0,1.0,243721760.0,338533939.0,94812178.0,336109049.0,69.0,190240070.0,270293932.0,80053861.0,282750129.0,31.0,284777176.0,375841926.0,91064750.0,388407565.0,23.0,128519182.0,217002680.0,88483497.0,222793366.0,44.0,354312460.0,438944280.0,84631820.0,468966020.0,15.0,163898608.0,249399539.0,85500931.0,263838148.0,58.0,106566860.0,202975000.0,96408140.0,201537590.0,10.0,196460573.0,306038006.0,109577433.0,285388146.0,15.0,221443895.34615386,221443895.34615386,221443895.34615386,221443895.34615386,221443895.34615386,549926342.0,2851315109.0,2301388766.0,632053652.0,21.0,24753800.0,167465900.0,142712100.0,125445700.0,1.0,555511515.0,645882469.0,90370953.0,649803430.0,13.0
17.0,270109845.0,349010239.0,78900394.0,345598745.0,248.0,166886131.0,242954644.0,76068512.0,246310703.0,85.0,187082490.0,266680022.0,79597531.0,264626984.0,136.0,152602754.0,233844716.0,81241961.0,228429060.0,71.0,130287704.0,345861565.0,215573861.0,206938469.0,73.0,119607952.0,197271400.0,77663448.0,194625180.0,24.0,152780831.0,228266936.0,75486105.0,229561355.0,74.0,147436955.0,221601496.0,74164540.0,224251559.0,26.0,130174995.0,206647828.0,76472832.0,206545323.0,67.0,163401020.0,238392810.0,74991790.0,238077923.0,90.0,136722681.0,207503364.0,70780683.0,211514716.0,36.0,115237061.0,191112045.0,75874983.0,191237303.0,31.0,122614959.0,199836159.0,77221200.0,198466537.0,27.0,286701948.0,360234580.0,73532632.0,368851080.0,31.0,92445600.0,177867350.0,85421750.0,165203950.0,2.0,199269950.0,272516180.0,73246229.0,275772831.0,57.0,188185319.0,259045222.0,70859903.0,263201703.0,31.0,192816604.0,267221472.0,74404868.0,272879995.0,22.0,138102664.0,213599651.0,75496987.0,212933269.0,39.0,183830084.0,250858938.0,67028853.0,264505538.0,13.0,115434313.0,189997850.0,74563537.0,194984974.0,51.0,101101720.0,173432960.0,72331240.0,185582940.0,10.0,156454533.0,239243200.0,82788666.0,226411200.0,12.0,62504500.0,127509700.0,65005200.0,162763200.0,1.0,715615712.0,785691162.0,70075450.0,787390668.0,15.0,0.0,69009800.0,69009800.0,86780100.0,1.0,341632840.0,407188790.0,65555950.0,422601770.0,10.0
59.0,431055562.0,532563131.0,101507569.0,510196576.0,259.0,289870840.0,362160250.0,72289409.0,371250416.0,93.0,330836217.0,419769522.0,88933305.0,413181779.0,140.0,205015914.0,313026410.0,108010496.0,285811745.0,76.0,262673397.0,356102297.0,93428900.0,344605658.0,81.0,234739057.0,318546185.0,83807128.0,317283896.0,28.0,259773797.0,342608257.0,82834460.0,342283626.0,78.0,149552403.0,227790871.0,78238467.0,229410692.0,28.0,249709511.0,325130728.0,75421216.0,335096095.0,71.0,256930393.0,338093358.0,81162965.0,337500722.0,87.0,266022880.0,342237785.0,76214905.0,351934937.0,39.0,222747630.0,312448163.0,89700533.0,305675569.0,33.0,240511127.0,313347406.0,72836278.0,322100421.0,33.0,376627019.0,460162496.0,83535477.0,459546270.0,31.0,161860400.0,224864400.0,63004000.0,283647300.0,2.0,311548560.0,393053315.0,81504755.0,389629893.0,58.0,173694192.0,236822325.0,63128132.0,251881903.0,28.0,289810482.0,362931178.0,73120696.0,378807146.0,28.0,294559874.0,377739953.0,83180079.0,379038406.0,43.0,310421553.0,386077276.0,75655723.0,396943800.0,13.0,169445486.0,238422188.0,68976702.0,250482384.0,50.0,120247766.0,204977633.0,84729866.0,206397977.0,9.0,268141118.0,359066527.0,90925409.0,346429663.0,10.0,138599300.0,215446900.0,76847600.0,290815700.0,1.0,659063475.0,728636240.0,69572765.0,730273620.0,20.0,21017600.0,113585100.0,92567500.0,112668100.0,1.0,668526120.0,737598470.0,69072350.0,744623980.0,10.0
